Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
large red-belted clearwing,52.007,381,Synanthedon culiciformis,Large Red-belted Clearwing,Macro-moth,1,culiciformis
sycul,52.007,381,Synanthedon culiciformis,Large Red-belted Clearwing,Macro-moth,1,culiciformis
synanthedon culiciformis,52.007,381,Synanthedon culiciformis,Large Red-belted Clearwing,Macro-moth,1,culiciformis
52.008,52.008,380,Synanthedon formicaeformis,Red-tipped Clearwing,Macro-moth,1,formicaeformis
380,52.008,380,Synanthedon formicaeformis,Red-tipped Clearwing,Macro-moth,1,formicaeformis
red-tipped clearwing,52.008,380,Synanthedon formicaeformis,Red-tipped Clearwing,Macro-moth,1,formicaeformis
syfor,52.008,380,Synanthedon formicaeformis,Red-tipped Clearwing,Macro-moth,1,formicaeformis
synanthedon formicaeformis,52.008,380,Synanthedon formicaeformis,Red-tipped Clearwing,Macro-moth,1,formicaeformis
52.009,52.009,377,Synanthedon flaviventris,Sallow Clearwing,Macro-moth,1,flaviventris
377,52.009,377,Synanthedon flaviventris,Sallow Clearwing,Macro-moth,1,flaviventris
sallow clearwing,52.009,377,Synanthedon flaviventris,Sallow Clearwing,Macro-moth,1,flaviventris
syfla,52.009,377,Synanthedon flaviventris,Sallow Clearwing,Macro-moth,1,flaviventris
synanthedon flaviventris,52.009,377,Synanthedon flaviventris,Sallow Clearwing,Macro-moth,1,flaviventris
52.01,52.01,378,Synanthedon andrenaeformis,Orange-tailed Clearwing,Macro-moth,1,andrenaeformis
378,52.01,378,Synanthedon andrenaeformis,Orange-tailed Clearwing,Macro-moth,1,andrenaeformis
orange-tailed clearwing,52.01,378,Synanthedon andrenaeformis,Orange-tailed Clearwing,Macro-moth,1,andrenaeformis
syand,52.01,378,Synanthedon andrenaeformis,Orange-tailed Clearwing,Macro-moth,1,andrenaeformis
synanthedon andrenaeformis,52.01,378,Synanthedon andrenaeformis,Orange-tailed Clearwing,Macro-moth,1,andrenaeformis
52.011,52.011,379,Synanthedon myopaeformis,Red-belted Clearwing,Macro-moth,1,myopaeformis
379,52.011,379,Synanthedon myopaeformis,Red-belted Clearwing,Macro-moth,1,myopaeformis
red-belted clearwing,52.011,379,Synanthedon myopaeformis,Red-belted Clearwing,Macro-moth,1,myopaeformis
symyo,52.011,379,Synanthedon myopaeformis,Red-belted Clearwing,Macro-moth,1,myopaeformis
synanthedon myopaeformis,52.011,379,Synanthedon myopaeformis,Red-belted Clearwing,Macro-moth,1,myopaeformis
52.012,52.012,374,Synanthedon vespiformis,Yellow-legged Clearwing,Macro-moth,1,vespiformis
374,52.012,374,Synanthedon vespiformis,Yellow-legged Clearwing,Macro-moth,1,vespiformis
synanthedon vespiformis,52.012,374,Synanthedon vespiformis,Yellow-legged Clearwing,Macro-moth,1,vespiformis
syves,52.012,374,Synanthedon vespiformis,Yellow-legged Clearwing,Macro-moth,1,vespiformis
yellow-legged clearwing,52.012,374,Synanthedon vespiformis,Yellow-legged Clearwing,Macro-moth,1,vespiformis
52.013,52.013,373,Synanthedon tipuliformis,Currant Clearwing,Macro-moth,1,tipuliformis
373,52.013,373,Synanthedon tipuliformis,Currant Clearwing,Macro-moth,1,tipuliformis
currant clearwing,52.013,373,Synanthedon tipuliformis,Currant Clearwing,Macro-moth,1,tipuliformis
synanthedon tipuliformis,52.013,373,Synanthedon tipuliformis,Currant Clearwing,Macro-moth,1,tipuliformis
sytip,52.013,373,Synanthedon tipuliformis,Currant Clearwing,Macro-moth,1,tipuliformis
52.014,52.014,382,Bembecia ichneumoniformis,Six-belted Clearwing,Macro-moth,1,ichneumoniformis
382,52.014,382,Bembecia ichneumoniformis,Six-belted Clearwing,Macro-moth,1,ichneumoniformis
beich,52.014,382,Bembecia ichneumoniformis,Six-belted Clearwing,Macro-moth,1,ichneumoniformis
bembecia ichneumoniformis,52.014,382,Bembecia ichneumoniformis,Six-belted Clearwing,Macro-moth,1,ichneumoniformis
