Shortcut,Code,B&F,Taxon,Vernacular,Taxon group,Grade,specific
801,35.098,801,Gelechia scotinella,Thicket Groundling,Micro-moth,4,scotinella
gelechia scotinella,35.098,801,Gelechia scotinella,Thicket Groundling,Micro-moth,4,scotinella
gesco,35.098,801,Gelechia scotinella,Thicket Groundling,Micro-moth,4,scotinella
thicket groundling,35.098,801,Gelechia scotinella,Thicket Groundling,Micro-moth,4,scotinella
35.099,35.099,801a,Gelechia senticetella,Cypress Groundling,Micro-moth,2,senticetella
801a,35.099,801a,Gelechia senticetella,Cypress Groundling,Micro-moth,2,senticetella
cypress groundling,35.099,801a,Gelechia senticetella,Cypress Groundling,Micro-moth,2,senticetella
gelechia senticetella,35.099,801a,Gelechia senticetella,Cypress Groundling,Micro-moth,2,senticetella
gesen,35.099,801a,Gelechia senticetella,Cypress Groundling,Micro-moth,2,senticetella
35.1,35.1,802,Gelechia sabinellus,Juniper Groundling,Micro-moth,3,sabinellus
802,35.1,802,Gelechia sabinellus,Juniper Groundling,Micro-moth,3,sabinellus
gelechia sabinellus,35.1,802,Gelechia sabinellus,Juniper Groundling,Micro-moth,3,sabinellus
gesab,35.1,802,Gelechia sabinellus,Juniper Groundling,Micro-moth,3,sabinellus
juniper groundling,35.1,802,Gelechia sabinellus,Juniper Groundling,Micro-moth,3,sabinellus
35.101,35.101,802a,Gelechia sororculella,Dark-striped Groundling,Micro-moth,2,sororculella
802a,35.101,802a,Gelechia sororculella,Dark-striped Groundling,Micro-moth,2,sororculella
dark-striped groundling,35.101,802a,Gelechia sororculella,Dark-striped Groundling,Micro-moth,2,sororculella
gelechia sororculella,35.101,802a,Gelechia sororculella,Dark-striped Groundling,Micro-moth,2,sororculella
gesor,35.101,802a,Gelechia sororculella,Dark-striped Groundling,Micro-moth,2,sororculella
35.102,35.102,803,Gelechia muscosella,Grey Sallow Groundling,Micro-moth,4,muscosella
803,35.102,803,Gelechia muscosella,Grey Sallow Groundling,Micro-moth,4,muscosella
gelechia muscosella,35.102,803,Gelechia muscosella,Grey Sallow Groundling,Micro-moth,4,muscosella
gemus,35.102,803,Gelechia muscosella,Grey Sallow Groundling,Micro-moth,4,muscosella
grey sallow groundling,35.102,803,Gelechia muscosella,Grey Sallow Groundling,Micro-moth,4,muscosella
35.103,35.103,804,Gelechia cuneatella,Long-winged Groundling,Micro-moth,4,cuneatella
804,35.103,804,Gelechia cuneatella,Long-winged Groundling,Micro-moth,4,cuneatella
gecun,35.103,804,Gelechia cuneatella,Long-winged Groundling,Micro-moth,4,cuneatella
gelechia cuneatella,35.103,804,Gelechia cuneatella,Long-winged Groundling,Micro-moth,4,cuneatella
long-winged groundling,35.103,804,Gelechia cuneatella,Long-winged Groundling,Micro-moth,4,cuneatella
35.104,35.104,805,Gelechia hippophaella,Seathorn Groundling,Micro-moth,3,hippophaella
805,35.104,805,Gelechia hippophaella,Seathorn Groundling,Micro-moth,3,hippophaella
gehip,35.104,805,Gelechia hippophaella,Seathorn Groundling,Micro-moth,3,hippophaella
gelechia hippophaella,35.104,805,Gelechia hippophaella,Seathorn Groundling,Micro-moth,3,hippophaella
seathorn groundling,35.104,805,Gelechia hippophaella,Seathorn Groundling,Micro-moth,3,hippophaella
35.105,35.105,806,Gelechia nigra,Black Groundling,Micro-moth,3,nigra
806,35.105,806,Gelechia nigra,Black Groundling,Micro-moth,3,nigra
black groundling,35.105,806,Gelechia nigra,Black Groundling,Micro-moth,3,nigra
gelechia nigra,35.105,806,Gelechia nigra,Black Groundling,Micro-moth,3,nigra
genig,35.105,806,Gelechia nigra,Black Groundling,Micro-moth,3,nigra
35.106,35.106,807,Gelechia turpella,Grand Groundling,Micro-moth,3,turpella
807,35.106,807,Gelechia turpella,Grand Groundling,Micro-moth,3,turpella
gelechia turpella,35.106,807,Gelechia turpella,Grand Groundling,Micro-moth,3,turpella
getur,35.106,807,Gelechia turpella,Grand Groundling,Micro-moth,3,turpella
grand groundling,35.106,807,Gelechia turpella,Grand Groundling,Micro-moth,3,turpella
35.107,35.107,859,Psoricoptera gibbosella,Humped Groundling,Micro-moth,2,gibbosella
859,35.107,859,Psoricoptera gibbosella,Humped Groundling,Micro-moth,2,gibbosella
humped groundling,35.107,859,Psoricoptera gibbosella,Humped Groundling,Micro-moth,2,gibbosella
psgib,35.107,859,Psoricoptera gibbosella,Humped Groundling,Micro-moth,2,gibbosella
psoricoptera gibbosella,35.107,859,Psoricoptera gibbosella,Humped Groundling,Micro-moth,2,gibbosella
35.108,35.108,824,Gnorimoschema streliciella,Inverness Groundling,Micro-moth,3,streliciella
824,35.108,824,Gnorimoschema streliciella,Inverness Groundling,Micro-moth,3,streliciella
gnorimoschema streliciella,35.108,824,Gnorimoschema streliciella,Inverness Groundling,Micro-moth,3,streliciella
gnstr,35.108,824,Gnorimoschema streliciella,Inverness Groundling,Micro-moth,3,streliciella
inverness groundling,35.108,824,Gnorimoschema streliciella,Inverness Groundling,Micro-moth,3,streliciella
35.109,35.109,822,Scrobipalpa acuminatella,Pointed Groundling,Micro-moth,4,acuminatella
822,35.109,822,Scrobipalpa acuminatella,Pointed Groundling,Micro-moth,4,acuminatella
pointed groundling,35.109,822,Scrobipalpa acuminatella,Pointed Groundling,Micro-moth,4,acuminatella
scacu1,35.109,822,Scrobipalpa acuminatella,Pointed Groundling,Micro-moth,4,acuminatella
scrobipalpa acuminatella,35.109,822,Scrobipalpa acuminatella,Pointed Groundling,Micro-moth,4,acuminatella
35.11,35.11,814a,Scrobipalpa pauperella,Cambridge Groundling,Micro-moth,4,pauperella
814a,35.11,814a,Scrobipalpa pauperella,Cambridge Groundling,Micro-moth,4,pauperella
cambridge groundling,35.11,814a,Scrobipalpa pauperella,Cambridge Groundling,Micro-moth,4,pauperella
scpau,35.11,814a,Scrobipalpa pauperella,Cambridge Groundling,Micro-moth,4,pauperella
scrobipalpa pauperella,35.11,814a,Scrobipalpa pauperella,Cambridge Groundling,Micro-moth,4,pauperella
35.111,35.111,821,Scrobipalpa murinella,Rock Groundling,Micro-moth,4,murinella
821,35.111,821,Scrobipalpa murinella,Rock Groundling,Micro-moth,4,murinella
rock groundling,35.111,821,Scrobipalpa murinella,Rock Groundling,Micro-moth,4,murinella
scmur,35.111,821,Scrobipalpa murinella,Rock Groundling,Micro-moth,4,murinella
scrobipalpa murinella,35.111,821,Scrobipalpa murinella,Rock Groundling,Micro-moth,4,murinella
35.112,35.112,810,Scrobipalpa suaedella,Sea-blite Groundling,Micro-moth,4,suaedella
810,35.112,810,Scrobipalpa suaedella,Sea-blite Groundling,Micro-moth,4,suaedella
scrobipalpa suaedella,35.112,810,Scrobipalpa suaedella,Sea-blite Groundling,Micro-moth,4,suaedella
scsua,35.112,810,Scrobipalpa suaedella,Sea-blite Groundling,Micro-moth,4,suaedella
sea-blite groundling,35.112,810,Scrobipalpa suaedella,Sea-blite Groundling,Micro-moth,4,suaedella
35.113,35.113,813,Scrobipalpa salicorniae,Sea-aster Groundling,Micro-moth,4,salicorniae
813,35.113,813,Scrobipalpa salicorniae,Sea-aster Groundling,Micro-moth,4,salicorniae
scrobipalpa salicorniae,35.113,813,Scrobipalpa salicorniae,Sea-aster Groundling,Micro-moth,4,salicorniae
scsal,35.113,813,Scrobipalpa salicorniae,Sea-aster Groundling,Micro-moth,4,salicorniae
sea-aster groundling,35.113,813,Scrobipalpa salicorniae,Sea-aster Groundling,Micro-moth,4,salicorniae
35.114,35.114,812,Scrobipalpa instabilella,Saltern Groundling,Micro-moth,4,instabilella
812,35.114,812,Scrobipalpa instabilella,Saltern Groundling,Micro-moth,4,instabilella
saltern groundling,35.114,812,Scrobipalpa instabilella,Saltern Groundling,Micro-moth,4,instabilella
scins1,35.114,812,Scrobipalpa instabilella,Saltern Groundling,Micro-moth,4,instabilella
scrobipalpa instabilella,35.114,812,Scrobipalpa instabilella,Saltern Groundling,Micro-moth,4,instabilella
35.115,35.115,815,Scrobipalpa nitentella,Common Sea Groundling,Micro-moth,4,nitentella
815,35.115,815,Scrobipalpa nitentella,Common Sea Groundling,Micro-moth,4,nitentella
common sea groundling,35.115,815,Scrobipalpa nitentella,Common Sea Groundling,Micro-moth,4,nitentella
scnit,35.115,815,Scrobipalpa nitentella,Common Sea Groundling,Micro-moth,4,nitentella
scrobipalpa nitentella,35.115,815,Scrobipalpa nitentella,Common Sea Groundling,Micro-moth,4,nitentella
35.116,35.116,816,Scrobipalpa obsoletella,Summer Groundling,Micro-moth,4,obsoletella
816,35.116,816,Scrobipalpa obsoletella,Summer Groundling,Micro-moth,4,obsoletella
scobs,35.116,816,Scrobipalpa obsoletella,Summer Groundling,Micro-moth,4,obsoletella
scrobipalpa obsoletella,35.116,816,Scrobipalpa obsoletella,Summer Groundling,Micro-moth,4,obsoletella
summer groundling,35.116,816,Scrobipalpa obsoletella,Summer Groundling,Micro-moth,4,obsoletella
35.117,35.117,818,Scrobipalpa atriplicella,Goosefoot Groundling,Micro-moth,4,atriplicella
818,35.117,818,Scrobipalpa atriplicella,Goosefoot Groundling,Micro-moth,4,atriplicella
goosefoot groundling,35.117,818,Scrobipalpa atriplicella,Goosefoot Groundling,Micro-moth,4,atriplicella
scatr,35.117,818,Scrobipalpa atriplicella,Goosefoot Groundling,Micro-moth,4,atriplicella
scrobipalpa atriplicella,35.117,818,Scrobipalpa atriplicella,Goosefoot Groundling,Micro-moth,4,atriplicella
35.118,35.118,814,Scrobipalpa ocellatella,Beet Moth,Micro-moth,4,ocellatella
814,35.118,814,Scrobipalpa ocellatella,Beet Moth,Micro-moth,4,ocellatella
beet moth,35.118,814,Scrobipalpa ocellatella,Beet Moth,Micro-moth,4,ocellatella
scoce,35.118,814,Scrobipalpa ocellatella,Beet Moth,Micro-moth,4,ocellatella
scrobipalpa ocellatella,35.118,814,Scrobipalpa ocellatella,Beet Moth,Micro-moth,4,ocellatella
35.119,35.119,811,Scrobipalpa samadensis,Buck’s-horn Groundling,Micro-moth,4,samadensis
811,35.119,811,Scrobipalpa samadensis,Buck’s-horn Groundling,Micro-moth,4,samadensis
buck’s-horn groundling,35.119,811,Scrobipalpa samadensis,Buck’s-horn Groundling,Micro-moth,4,samadensis
scrobipalpa samadensis,35.119,811,Scrobipalpa samadensis,Buck’s-horn Groundling,Micro-moth,4,samadensis
scsam,35.119,811,Scrobipalpa samadensis,Buck’s-horn Groundling,Micro-moth,4,samadensis
35.12,35.12,820,Scrobipalpa artemisiella,Thyme Moth,Micro-moth,4,artemisiella
820,35.12,820,Scrobipalpa artemisiella,Thyme Moth,Micro-moth,4,artemisiella
scart,35.12,820,Scrobipalpa artemisiella,Thyme Moth,Micro-moth,4,artemisiella
scrobipalpa artemisiella,35.12,820,Scrobipalpa artemisiella,Thyme Moth,Micro-moth,4,artemisiella
thyme moth,35.12,820,Scrobipalpa artemisiella,Thyme Moth,Micro-moth,4,artemisiella
35.121,35.121,811a,Scrobipalpa stangei,Arrowgrass Groundling,Micro-moth,4,stangei
811a,35.121,811a,Scrobipalpa stangei,Arrowgrass Groundling,Micro-moth,4,stangei
arrowgrass groundling,35.121,811a,Scrobipalpa stangei,Arrowgrass Groundling,Micro-moth,4,stangei
scrobipalpa stangei,35.121,811a,Scrobipalpa stangei,Arrowgrass Groundling,Micro-moth,4,stangei
scsta,35.121,811a,Scrobipalpa stangei,Arrowgrass Groundling,Micro-moth,4,stangei
35.122,35.122,817,Scrobipalpa clintoni,Atlantic Groundling,Micro-moth,4,clintoni
817,35.122,817,Scrobipalpa clintoni,Atlantic Groundling,Micro-moth,4,clintoni
atlantic groundling,35.122,817,Scrobipalpa clintoni,Atlantic Groundling,Micro-moth,4,clintoni
sccli,35.122,817,Scrobipalpa clintoni,Atlantic Groundling,Micro-moth,4,clintoni
scrobipalpa clintoni,35.122,817,Scrobipalpa clintoni,Atlantic Groundling,Micro-moth,4,clintoni
35.123,35.123,819,Scrobipalpa costella,Winter Groundling,Micro-moth,1,costella
819,35.123,819,Scrobipalpa costella,Winter Groundling,Micro-moth,1,costella
sccos1,35.123,819,Scrobipalpa costella,Winter Groundling,Micro-moth,1,costella
scrobipalpa costella,35.123,819,Scrobipalpa costella,Winter Groundling,Micro-moth,1,costella
winter groundling,35.123,819,Scrobipalpa costella,Winter Groundling,Micro-moth,1,costella
35.124,35.124,823,Scrobipalpula diffluella,Essex Groundling,Micro-moth,4,diffluella
823,35.124,823,Scrobipalpula diffluella,Essex Groundling,Micro-moth,4,diffluella
essex groundling,35.124,823,Scrobipalpula diffluella,Essex Groundling,Micro-moth,4,diffluella
scdif,35.124,823,Scrobipalpula diffluella,Essex Groundling,Micro-moth,4,diffluella
scrobipalpula diffluella,35.124,823,Scrobipalpula diffluella,Essex Groundling,Micro-moth,4,diffluella
35.125,35.125,823a,Scrobipalpula tussilaginis,Colt’s-foot Groundling,Micro-moth,4,tussilaginis
823a,35.125,823a,Scrobipalpula tussilaginis,Colt’s-foot Groundling,Micro-moth,4,tussilaginis
colt’s-foot groundling,35.125,823a,Scrobipalpula tussilaginis,Colt’s-foot Groundling,Micro-moth,4,tussilaginis
scrobipalpula tussilaginis,35.125,823a,Scrobipalpula tussilaginis,Colt’s-foot Groundling,Micro-moth,4,tussilaginis
sctus,35.125,823a,Scrobipalpula tussilaginis,Colt’s-foot Groundling,Micro-moth,4,tussilaginis
35.126,35.126,825,Phthorimaea operculella,Potato Tuber Moth,Micro-moth,4,operculella
825,35.126,825,Phthorimaea operculella,Potato Tuber Moth,Micro-moth,4,operculella
phope,35.126,825,Phthorimaea operculella,Potato Tuber Moth,Micro-moth,4,operculella
phthorimaea operculella,35.126,825,Phthorimaea operculella,Potato Tuber Moth,Micro-moth,4,operculella
potato tuber moth,35.126,825,Phthorimaea operculella,Potato Tuber Moth,Micro-moth,4,operculella
35.127,35.127,825a,Tuta absoluta,Tomato Leaf-miner,Micro-moth,4,absoluta
825a,35.127,825a,Tuta absoluta,Tomato Leaf-miner,Micro-moth,4,absoluta
tomato leaf-miner,35.127,825a,Tuta absoluta,Tomato Leaf-miner,Micro-moth,4,absoluta
tuabs,35.127,825a,Tuta absoluta,Tomato Leaf-miner,Micro-moth,4,absoluta
tuta absoluta,35.127,825a,Tuta absoluta,Tomato Leaf-miner,Micro-moth,4,absoluta
35.128,35.128,827,Caryocolum alsinella,Narrow Groundling,Micro-moth,4,alsinella
827,35.128,827,Caryocolum alsinella,Narrow Groundling,Micro-moth,4,alsinella
caals,35.128,827,Caryocolum alsinella,Narrow Groundling,Micro-moth,4,alsinella
caryocolum alsinella,35.128,827,Caryocolum alsinella,Narrow Groundling,Micro-moth,4,alsinella
narrow groundling,35.128,827,Caryocolum alsinella,Narrow Groundling,Micro-moth,4,alsinella
35.129,35.129,828,Caryocolum viscariella,Campion Groundling,Micro-moth,4,viscariella
828,35.129,828,Caryocolum viscariella,Campion Groundling,Micro-moth,4,viscariella
campion groundling,35.129,828,Caryocolum viscariella,Campion Groundling,Micro-moth,4,viscariella
caryocolum viscariella,35.129,828,Caryocolum viscariella,Campion Groundling,Micro-moth,4,viscariella
cavis,35.129,828,Caryocolum viscariella,Campion Groundling,Micro-moth,4,viscariella
35.13,35.13,826,Caryocolum vicinella,Coast Groundling,Micro-moth,2,vicinella
826,35.13,826,Caryocolum vicinella,Coast Groundling,Micro-moth,2,vicinella
caryocolum vicinella,35.13,826,Caryocolum vicinella,Coast Groundling,Micro-moth,2,vicinella
cavic,35.13,826,Caryocolum vicinella,Coast Groundling,Micro-moth,2,vicinella
coast groundling,35.13,826,Caryocolum vicinella,Coast Groundling,Micro-moth,2,vicinella
35.131,35.131,829,Caryocolum marmorea,Beautiful Groundling,Micro-moth,4,marmorea
829,35.131,829,Caryocolum marmorea,Beautiful Groundling,Micro-moth,4,marmorea
beautiful groundling,35.131,829,Caryocolum marmorea,Beautiful Groundling,Micro-moth,4,marmorea
camar1,35.131,829,Caryocolum marmorea,Beautiful Groundling,Micro-moth,4,marmorea
caryocolum marmorea,35.131,829,Caryocolum marmorea,Beautiful Groundling,Micro-moth,4,marmorea
35.132,35.132,830,Caryocolum fraternella,Mouse-ear Groundling,Micro-moth,4,fraternella
830,35.132,830,Caryocolum fraternella,Mouse-ear Groundling,Micro-moth,4,fraternella
cafra1,35.132,830,Caryocolum fraternella,Mouse-ear Groundling,Micro-moth,4,fraternella
caryocolum fraternella,35.132,830,Caryocolum fraternella,Mouse-ear Groundling,Micro-moth,4,fraternella
mouse-ear groundling,35.132,830,Caryocolum fraternella,Mouse-ear Groundling,Micro-moth,4,fraternella
35.133,35.133,832,Caryocolum blandella,Short-barred Groundling,Micro-moth,2,blandella
832,35.133,832,Caryocolum blandella,Short-barred Groundling,Micro-moth,2,blandella
cabla1,35.133,832,Caryocolum blandella,Short-barred Groundling,Micro-moth,2,blandella
caryocolum blandella,35.133,832,Caryocolum blandella,Short-barred Groundling,Micro-moth,2,blandella
short-barred groundling,35.133,832,Caryocolum blandella,Short-barred Groundling,Micro-moth,2,blandella
35.134,35.134,832a,Caryocolum blandelloides,Black Isle Groundling,Micro-moth,4,blandelloides
832a,35.134,832a,Caryocolum blandelloides,Black Isle Groundling,Micro-moth,4,blandelloides
black isle groundling,35.134,832a,Caryocolum blandelloides,Black Isle Groundling,Micro-moth,4,blandelloides
cabla2,35.134,832a,Caryocolum blandelloides,Black Isle Groundling,Micro-moth,4,blandelloides
caryocolum blandelloides,35.134,832a,Caryocolum blandelloides,Black Isle Groundling,Micro-moth,4,blandelloides
35.135,35.135,831,Caryocolum proxima,Meadow Groundling,Micro-moth,4,proxima
831,35.135,831,Caryocolum proxima,Meadow Groundling,Micro-moth,4,proxima
capro1,35.135,831,Caryocolum proxima,Meadow Groundling,Micro-moth,4,proxima
caryocolum proxima,35.135,831,Caryocolum proxima,Meadow Groundling,Micro-moth,4,proxima
meadow groundling,35.135,831,Caryocolum proxima,Meadow Groundling,Micro-moth,4,proxima
35.136,35.136,835,Caryocolum blandulella,Southern Groundling,Micro-moth,4,blandulella
835,35.136,835,Caryocolum blandulella,Southern Groundling,Micro-moth,4,blandulella
cabla3,35.136,835,Caryocolum blandulella,Southern Groundling,Micro-moth,4,blandulella
caryocolum blandulella,35.136,835,Caryocolum blandulella,Southern Groundling,Micro-moth,4,blandulella
southern groundling,35.136,835,Caryocolum blandulella,Southern Groundling,Micro-moth,4,blandulella
35.137,35.137,834,Caryocolum tricolorella,Three-colour Groundling,Micro-moth,4,tricolorella
834,35.137,834,Caryocolum tricolorella,Three-colour Groundling,Micro-moth,4,tricolorella
caryocolum tricolorella,35.137,834,Caryocolum tricolorella,Three-colour Groundling,Micro-moth,4,tricolorella
catri1,35.137,834,Caryocolum tricolorella,Three-colour Groundling,Micro-moth,4,tricolorella
three-colour groundling,35.137,834,Caryocolum tricolorella,Three-colour Groundling,Micro-moth,4,tricolorella
35.138,35.138,833,Caryocolum junctella,Confluent Groundling,Micro-moth,4,junctella
833,35.138,833,Caryocolum junctella,Confluent Groundling,Micro-moth,4,junctella
cajun,35.138,833,Caryocolum junctella,Confluent Groundling,Micro-moth,4,junctella
caryocolum junctella,35.138,833,Caryocolum junctella,Confluent Groundling,Micro-moth,4,junctella
confluent groundling,35.138,833,Caryocolum junctella,Confluent Groundling,Micro-moth,4,junctella
35.139,35.139,837,Caryocolum huebneri,Hedge Groundling,Micro-moth,4,huebneri
837,35.139,837,Caryocolum huebneri,Hedge Groundling,Micro-moth,4,huebneri
cahue,35.139,837,Caryocolum huebneri,Hedge Groundling,Micro-moth,4,huebneri
caryocolum huebneri,35.139,837,Caryocolum huebneri,Hedge Groundling,Micro-moth,4,huebneri
hedge groundling,35.139,837,Caryocolum huebneri,Hedge Groundling,Micro-moth,4,huebneri
35.14,35.14,836,Caryocolum kroesmanniella,Scarce Groundling,Micro-moth,4,kroesmanniella
836,35.14,836,Caryocolum kroesmanniella,Scarce Groundling,Micro-moth,4,kroesmanniella
cakro,35.14,836,Caryocolum kroesmanniella,Scarce Groundling,Micro-moth,4,kroesmanniella
caryocolum kroesmanniella,35.14,836,Caryocolum kroesmanniella,Scarce Groundling,Micro-moth,4,kroesmanniella
scarce groundling,35.14,836,Caryocolum kroesmanniella,Scarce Groundling,Micro-moth,4,kroesmanniella
35.141,35.141,765,Teleiodes vulgella,Common Groundling,Micro-moth,2,vulgella
765,35.141,765,Teleiodes vulgella,Common Groundling,Micro-moth,2,vulgella
common groundling,35.141,765,Teleiodes vulgella,Common Groundling,Micro-moth,2,vulgella
teleiodes vulgella,35.141,765,Teleiodes vulgella,Common Groundling,Micro-moth,2,vulgella
tevul,35.141,765,Teleiodes vulgella,Common Groundling,Micro-moth,2,vulgella
35.142,35.142,769,Teleiodes wagae,Hazel Groundling,Micro-moth,4,wagae
769,35.142,769,Teleiodes wagae,Hazel Groundling,Micro-moth,4,wagae
hazel groundling,35.142,769,Teleiodes wagae,Hazel Groundling,Micro-moth,4,wagae
teleiodes wagae,35.142,769,Teleiodes wagae,Hazel Groundling,Micro-moth,4,wagae
tewag,35.142,769,Teleiodes wagae,Hazel Groundling,Micro-moth,4,wagae
35.143,35.143,774,Teleiodes luculella,Crescent Groundling,Micro-moth,1,luculella
774,35.143,774,Teleiodes luculella,Crescent Groundling,Micro-moth,1,luculella
crescent groundling,35.143,774,Teleiodes luculella,Crescent Groundling,Micro-moth,1,luculella
teleiodes luculella,35.143,774,Teleiodes luculella,Crescent Groundling,Micro-moth,1,luculella
teluc,35.143,774,Teleiodes luculella,Crescent Groundling,Micro-moth,1,luculella
35.144,35.144,774a,Teleiodes flavimaculella,Chestnut Groundling,Micro-moth,4,flavimaculella
774a,35.144,774a,Teleiodes flavimaculella,Chestnut Groundling,Micro-moth,4,flavimaculella
chestnut groundling,35.144,774a,Teleiodes flavimaculella,Chestnut Groundling,Micro-moth,4,flavimaculella
tefla,35.144,774a,Teleiodes flavimaculella,Chestnut Groundling,Micro-moth,4,flavimaculella
teleiodes flavimaculella,35.144,774a,Teleiodes flavimaculella,Chestnut Groundling,Micro-moth,4,flavimaculella
35.145,35.145,775,Neotelphusa sequax,Barred Groundling,Micro-moth,2,sequax
775,35.145,775,Neotelphusa sequax,Barred Groundling,Micro-moth,2,sequax
barred groundling,35.145,775,Neotelphusa sequax,Barred Groundling,Micro-moth,2,sequax
neotelphusa sequax,35.145,775,Neotelphusa sequax,Barred Groundling,Micro-moth,2,sequax
neseq,35.145,775,Neotelphusa sequax,Barred Groundling,Micro-moth,2,sequax
35.146,35.146,776,Teleiopsis diffinis,Large Groundling,Micro-moth,2,diffinis
776,35.146,776,Teleiopsis diffinis,Large Groundling,Micro-moth,2,diffinis
large groundling,35.146,776,Teleiopsis diffinis,Large Groundling,Micro-moth,2,diffinis
tedif,35.146,776,Teleiopsis diffinis,Large Groundling,Micro-moth,2,diffinis
teleiopsis diffinis,35.146,776,Teleiopsis diffinis,Large Groundling,Micro-moth,2,diffinis
35.147,35.147,767,Carpatolechia decorella,Winter Oak Groundling,Micro-moth,3,decorella
767,35.147,767,Carpatolechia decorella,Winter Oak Groundling,Micro-moth,3,decorella
cadec,35.147,767,Carpatolechia decorella,Winter Oak Groundling,Micro-moth,3,decorella
carpatolechia decorella,35.147,767,Carpatolechia decorella,Winter Oak Groundling,Micro-moth,3,decorella
winter oak groundling,35.147,767,Carpatolechia decorella,Winter Oak Groundling,Micro-moth,3,decorella
35.148,35.148,772,Carpatolechia fugitivella,Elm Groundling,Micro-moth,2,fugitivella
772,35.148,772,Carpatolechia fugitivella,Elm Groundling,Micro-moth,2,fugitivella
cafug,35.148,772,Carpatolechia fugitivella,Elm Groundling,Micro-moth,2,fugitivella
carpatolechia fugitivella,35.148,772,Carpatolechia fugitivella,Elm Groundling,Micro-moth,2,fugitivella
elm groundling,35.148,772,Carpatolechia fugitivella,Elm Groundling,Micro-moth,2,fugitivella
35.149,35.149,771,Carpatolechia alburnella,Suffused Groundling,Micro-moth,2,alburnella
771,35.149,771,Carpatolechia alburnella,Suffused Groundling,Micro-moth,2,alburnella
caalb,35.149,771,Carpatolechia alburnella,Suffused Groundling,Micro-moth,2,alburnella
carpatolechia alburnella,35.149,771,Carpatolechia alburnella,Suffused Groundling,Micro-moth,2,alburnella
suffused groundling,35.149,771,Carpatolechia alburnella,Suffused Groundling,Micro-moth,2,alburnella
35.15,35.15,768,Carpatolechia notatella,Sallow-leaf Groundling,Micro-moth,3,notatella
768,35.15,768,Carpatolechia notatella,Sallow-leaf Groundling,Micro-moth,3,notatella
canot,35.15,768,Carpatolechia notatella,Sallow-leaf Groundling,Micro-moth,3,notatella
carpatolechia notatella,35.15,768,Carpatolechia notatella,Sallow-leaf Groundling,Micro-moth,3,notatella
sallow-leaf groundling,35.15,768,Carpatolechia notatella,Sallow-leaf Groundling,Micro-moth,3,notatella
35.151,35.151,770,Carpatolechia proximella,Black-speckled Groundling,Micro-moth,2,proximella
770,35.151,770,Carpatolechia proximella,Black-speckled Groundling,Micro-moth,2,proximella
black-speckled groundling,35.151,770,Carpatolechia proximella,Black-speckled Groundling,Micro-moth,2,proximella
capro2,35.151,770,Carpatolechia proximella,Black-speckled Groundling,Micro-moth,2,proximella
carpatolechia proximella,35.151,770,Carpatolechia proximella,Black-speckled Groundling,Micro-moth,2,proximella
35.152,35.152,764,Pseudotelphusa scalella,Black-spotted Groundling,Micro-moth,2,scalella
764,35.152,764,Pseudotelphusa scalella,Black-spotted Groundling,Micro-moth,2,scalella
black-spotted groundling,35.152,764,Pseudotelphusa scalella,Black-spotted Groundling,Micro-moth,2,scalella
pseudotelphusa scalella,35.152,764,Pseudotelphusa scalella,Black-spotted Groundling,Micro-moth,2,scalella
pssca,35.152,764,Pseudotelphusa scalella,Black-spotted Groundling,Micro-moth,2,scalella
35.153,35.153,773,Pseudotelphusa paripunctella,Tawny Groundling,Micro-moth,2,paripunctella
773,35.153,773,Pseudotelphusa paripunctella,Tawny Groundling,Micro-moth,2,paripunctella
pseudotelphusa paripunctella,35.153,773,Pseudotelphusa paripunctella,Tawny Groundling,Micro-moth,2,paripunctella
pspar,35.153,773,Pseudotelphusa paripunctella,Tawny Groundling,Micro-moth,2,paripunctella
tawny groundling,35.153,773,Pseudotelphusa paripunctella,Tawny Groundling,Micro-moth,2,paripunctella
35.154,35.154,763,Xenolechia aethiops,Moorland Groundling,Micro-moth,3,aethiops
763,35.154,763,Xenolechia aethiops,Moorland Groundling,Micro-moth,3,aethiops
moorland groundling,35.154,763,Xenolechia aethiops,Moorland Groundling,Micro-moth,3,aethiops
xeaet,35.154,763,Xenolechia aethiops,Moorland Groundling,Micro-moth,3,aethiops
xenolechia aethiops,35.154,763,Xenolechia aethiops,Moorland Groundling,Micro-moth,3,aethiops
35.155,35.155,766,Altenia scriptella,Horse-shoe Groundling,Micro-moth,2,scriptella
766,35.155,766,Altenia scriptella,Horse-shoe Groundling,Micro-moth,2,scriptella
alscr,35.155,766,Altenia scriptella,Horse-shoe Groundling,Micro-moth,2,scriptella
altenia scriptella,35.155,766,Altenia scriptella,Horse-shoe Groundling,Micro-moth,2,scriptella
horse-shoe groundling,35.155,766,Altenia scriptella,Horse-shoe Groundling,Micro-moth,2,scriptella
35.156,35.156,757,Recurvaria nanella,Brindled Groundling,Micro-moth,2,nanella
757,35.156,757,Recurvaria nanella,Brindled Groundling,Micro-moth,2,nanella
brindled groundling,35.156,757,Recurvaria nanella,Brindled Groundling,Micro-moth,2,nanella
recurvaria nanella,35.156,757,Recurvaria nanella,Brindled Groundling,Micro-moth,2,nanella
renan,35.156,757,Recurvaria nanella,Brindled Groundling,Micro-moth,2,nanella
35.157,35.157,758,Recurvaria leucatella,White-barred Groundling,Micro-moth,1,leucatella
758,35.157,758,Recurvaria leucatella,White-barred Groundling,Micro-moth,1,leucatella
