Shortcut,Code,Vernacular,Taxon,Grade,Location (64),Grid reference (12),Vice-county,Observer(s) (64),Determiner (64),Date (10),Date Validator,Abundance,Abundance qualifier,Sampling method,Sex,Life stage,Record status,Confidential,Comment (255)
"72.024, 2064, phful2, phragmatobia fuliginosa, ruby tiger",72.024,Ruby Tiger,Phragmatobia fuliginosa,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.002, 2474, riser, rivula sericealis, straw dot",72.002,Straw Dot,Rivula sericealis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.087, 2385, small mottled willow, spexi, spodoptera exigua",73.087,Small Mottled Willow,Spodoptera exigua,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"3.001, 15, orange swift, triodia sylvina, trsyl",3.001,Orange Swift,Triodia sylvina,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.053, 1722, flame carpet, xades, xanthorhoe designata",70.053,Flame Carpet,Xanthorhoe designata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.359, 2126, setaceous hebrew character, shc, xec-n, xestia c-nigrum",73.359,Setaceous Hebrew Character,Xestia c-nigrum,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,16,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.358, 2133, sisr, xesex, xestia sexstrigata",73.358,Six-striped Rustic,Xestia sexstrigata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"16.001, 424, bird-cherry ermine, ypevo, yponomeuta evonymella",16.001,Bird-cherry Ermine,Yponomeuta evonymella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"smerm, yppada",16.0025,Small Emine agg.,Yponomeuta padella/malinellus/cagnagella,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,06/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.092, 1303, psgm, agsel",63.092,Pale-streak Grass-veneer,Agriphila selasella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.317, 2089, agexc, agrotis exclamationis, heart & dart",73.317,Heart & Dart,Agrotis exclamationis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,6,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,10,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.062, 2297, amphipyra pyramidea, ampyr, copper underwing, cu",73.062,Copper Underwing,Amphipyra pyramidea,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.057, 1356, evergestis forficalis, evfor, garden pebble",63.057,Garden Pebble,Evergestis forficalis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.099, 2384, hoamb, hoplodrina ambigua, vine's rustic",73.099,Vine's Rustic,Hoplodrina ambigua,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.131, 2353, flounced rustic, luperina testacea, lutes",73.131,Flounced Rustic,Luperina testacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.274, 2154, cabbage moth, mabra, mamestra brassicae",73.274,Cabbage Moth,Mamestra brassicae,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"clra, cra, meseca",73.1691,Common Rustic agg.,Mesapamea secalis agg.,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.291, 2199/2200, common wainscot, mypal, mythimna pallens",73.291,Common Wainscot,Mythimna pallens,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.348, 2111, lbbyu, lesser broad-bordered yellow underwing, noctua janthe, nojan2",73.348,Lesser Broad-bordered Yellow Underwing,Noctua janthe,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.342, 2107, large yellow underwing, lyu, noctua pronuba, nopro",73.342,Large Yellow Underwing,Noctua pronuba,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.024, 2064, phful2, phragmatobia fuliginosa, ruby tiger",72.024,Ruby Tiger,Phragmatobia fuliginosa,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"71.02, 2011, pale prominent, pterostoma palpina, ptpal",71.02,Pale Prominent,Pterostoma palpina,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.359, 2126, setaceous hebrew character, shc, xec-n, xestia c-nigrum",73.359,Setaceous Hebrew Character,Xestia c-nigrum,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"smerm, yppada",16.0025,Small Emine agg.,Yponomeuta padella/malinellus/cagnagella,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,05/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.045, 2289, acronicta rumicis, acrum, knot grass",73.045,Knot Grass,Acronicta rumicis,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.12, 947, aesme, aethes smeathmanniana, yarrow conch",49.12,Yarrow Conch,Aethes smeathmanniana,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.092, 1303, psgm, agsel",63.092,Pale-streak Grass-veneer,Agriphila selasella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,24,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,9,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,11,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,18,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.255, 2145, anarta trifolii, antri, nutmeg",73.255,Nutmeg,Anarta trifolii,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"41.002, 873, bladu, blastobasis adustella, dingy dowd",41.002,Dingy Dowd,Blastobasis adustella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.102, 1316, cafal2, catoptria falsella, chequered grass-veneer",63.102,Chequered Grass-veneer,Catoptria falsella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"28.014, 642, crassa unitella, cruni, golden-brown tubic",28.014,Golden-brown Tubic,Crassa unitella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.338, 1261, codling moth, cydia pomonella, cypom",49.338,Codling Moth,Cydia pomonella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.341, 1260, cydia splendana, cyspl, marbled piercer",49.341,Marbled Piercer,Cydia splendana,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.045, 2050, common footman, eilema lurideola, eilur",72.045,Common Footman,Eilema lurideola,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"62.077, 1424, rt, enfla1, rotab",62.077,Rosy Tabby,Endotricha flammealis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.234, 1913, canary-shouldered thorn, cst, enaln, ennomos alniaria",70.234,Canary-shouldered Thorn,Ennomos alniaria,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.235, 1914, dusky thorn, enfus, ennomos fuscantaria",70.235,Dusky Thorn,Ennomos fuscantaria,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.039, 998, epiphyas postvittana, eppos, lbam, light brown apple-moth",49.039,Light Brown Apple-moth,Epiphyas postvittana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,6,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.057, 1356, evergestis forficalis, evfor, garden pebble",63.057,Garden Pebble,Evergestis forficalis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"71.005, 1997, fufur, furcula furcula, sallow kitten",71.005,Sallow Kitten,Furcula furcula,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.281, 2173, habic, hadena bicruris, lychnis",73.281,Lychnis,Hadena bicruris,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"28.01, 647, brown house moth, hofmannophila pseudospretella, hopse",28.01,Brown House Moth,Hofmannophila pseudospretella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.099, 2384, hoamb, hoplodrina ambigua, vine's rustic",73.099,Vine's Rustic,Hoplodrina ambigua,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.123, 2361, hydraecia micacea, hymic, rosy rustic",73.123,Rosy Rustic,Hydraecia micacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.131, 2353, flounced rustic, luperina testacea, lutes",73.131,Flounced Rustic,Luperina testacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,6,Exact,LED light,Unrecorded,Adult,NA,No,NA
"clra, cra, meseca",73.1691,Common Rustic agg.,Mesapamea secalis agg.,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.291, 2199/2200, common wainscot, mypal, mythimna pallens",73.291,Common Wainscot,Mythimna pallens,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.342, 2107, large yellow underwing, lyu, noctua pronuba, nopro",73.342,Large Yellow Underwing,Noctua pronuba,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.329, 2102, flame shoulder, ochropleura plecta, ocple",73.329,Flame Shoulder,Ochropleura plecta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.024, 2064, phful2, phragmatobia fuliginosa, ruby tiger",72.024,Ruby Tiger,Phragmatobia fuliginosa,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.022, 2439, gold spot, plfes, plusia festucae",73.022,Gold Spot,Plusia festucae,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"71.02, 2011, pale prominent, pterostoma palpina, ptpal",71.02,Pale Prominent,Pterostoma palpina,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.006, spg, spag, mm, mint moth",63.006,Small Purple & Gold,Pyrausta aurata,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.087, 2385, small mottled willow, spexi, spodoptera exigua",73.087,Small Mottled Willow,Spodoptera exigua,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.353, 2130, dc, xebaj, xestia baja",73.353,Dotted Clay,Xestia baja,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.359, 2126, setaceous hebrew character, shc, xec-n, xestia c-nigrum",73.359,Setaceous Hebrew Character,Xestia c-nigrum,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"smerm, yppada",16.0025,Small Emine agg.,Yponomeuta padella/malinellus/cagnagella,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,04/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"62.035, 1439, acadv, acrobasis advenella, grey knot-horn",62.035,Grey Knot-horn,Acrobasis advenella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.12, 947, aesme, aethes smeathmanniana, yarrow conch",49.12,Yarrow Conch,Aethes smeathmanniana,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.092, 1303, psgm, agsel",63.092,Pale-streak Grass-veneer,Agriphila selasella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.093, 1304, sgv, agstr, sgm",63.093,Straw Grass-veneer,Agriphila straminella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,23,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.089, 1305, comgr, agtri, cgm",63.089,Common Grass-veneer,Agriphila tristella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.325, 2092, agput2, agrotis puta, shuttle-shaped dart",73.325,Shuttle-shaped Dart,Agrotis puta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,11,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.319, 2087, agrotis segetum, agseg, turnip moth",73.319,Turnip Moth,Agrotis segetum,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,19,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.255, 2145, anarta trifolii, antri, nutmeg",73.255,Nutmeg,Anarta trifolii,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"41.002, 873, bladu, blastobasis adustella, dingy dowd",41.002,Dingy Dowd,Blastobasis adustella,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.099, 1313, capin, catoptria pinella, pearl grass-veneer",63.099,Pearl Grass-veneer,Catoptria pinella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.218, 1894, chcla, chiasmia clathrata, latticed heath",70.218,Latticed Heath,Chiasmia clathrata,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.338, 1261, codling moth, cydia pomonella, cypom",49.338,Codling Moth,Cydia pomonella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.044, 2044, dingy footman, eigri, eilema griseola",72.044,Dingy Footman,Eilema griseola,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.235, 1914, dusky thorn, enfus, ennomos fuscantaria",70.235,Dusky Thorn,Ennomos fuscantaria,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.039, 998, epiphyas postvittana, eppos, lbam, light brown apple-moth",49.039,Light Brown Apple-moth,Epiphyas postvittana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.061, 1738, common carpet, epalt, epirrhoe alternata",70.061,Common Carpet,Epirrhoe alternata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"70.173, 1825, eucen, eupithecia centaureata, lime-speck pug",70.173,Lime-speck Pug,Eupithecia centaureata,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"62.048, 1470, ash-bark knot-horn, eupin, euzophera pinguis",62.048,Ash-bark Knot-horn,Euzophera pinguis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.057, 1356, evergestis forficalis, evfor, garden pebble",63.057,Garden Pebble,Evergestis forficalis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"28.01, 647, brown house moth, hofmannophila pseudospretella, hopse",28.01,Brown House Moth,Hofmannophila pseudospretella,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.099, 2384, hoamb, hoplodrina ambigua, vine's rustic",73.099,Vine's Rustic,Hoplodrina ambigua,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.345, 1219, lastr, lathronympha strigana, red piercer",49.345,Red Piercer,Lathronympha strigana,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.131, 2353, flounced rustic, luperina testacea, lutes",73.131,Flounced Rustic,Luperina testacea,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"clra, cra, meseca",73.1691,Common Rustic agg.,Mesapamea secalis agg.,Ungraded,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,6,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.291, 2199/2200, common wainscot, mypal, mythimna pallens",73.291,Common Wainscot,Mythimna pallens,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.348, 2111, lbbyu, lesser broad-bordered yellow underwing, noctua janthe, nojan2",73.348,Lesser Broad-bordered Yellow Underwing,Noctua janthe,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.342, 2107, large yellow underwing, lyu, noctua pronuba, nopro",73.342,Large Yellow Underwing,Noctua pronuba,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.329, 2102, flame shoulder, ochropleura plecta, ocple",73.329,Flame Shoulder,Ochropleura plecta,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"49.026, 972, dark fruit-tree tortrix, pahep, pandemis heparana",49.026,Dark Fruit-tree Tortrix,Pandemis heparana,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.038, 1405, mother of pearl, parur, patania ruralis",63.038,Mother of Pearl,Patania ruralis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,2,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.024, 2064, phful2, phragmatobia fuliginosa, ruby tiger",72.024,Ruby Tiger,Phragmatobia fuliginosa,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,4,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.022, 2439, gold spot, plfes, plusia festucae",73.022,Gold Spot,Plusia festucae,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"63.006, spg, spag, mm, mint moth",63.006,Small Purple & Gold,Pyrausta aurata,2,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"72.002, 2474, riser, rivula sericealis, straw dot",72.002,Straw Dot,Rivula sericealis,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.087, 2385, small mottled willow, spexi, spodoptera exigua",73.087,Small Mottled Willow,Spodoptera exigua,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,3,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.359, 2126, setaceous hebrew character, shc, xec-n, xestia c-nigrum",73.359,Setaceous Hebrew Character,Xestia c-nigrum,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,6,Exact,LED light,Unrecorded,Adult,NA,No,NA
"73.357, 2134, sqsr, xestia xanthographa, xexan",73.357,Square-spot Rustic,Xestia xanthographa,1,"Dunnington Cross, York",SE66695280,61-South-east Yorkshire,VJ Beale,NA,03/08/2026,NA,1,Exact,LED light,Unrecorded,Adult,NA,No,NA
